name,state,pop2000,pop2010,fed.spend,poverty,homeownership,multiunit,income,med.income
Autauga County,Alabama,43671,54571,6.068094776,10.6,77.5,7.2,24568,53255
Baldwin County,Alabama,140415,182265,6.139862288,12.2,76.7,22.6,26469,50147
Barbour County,Alabama,29038,27457,8.75215792,25,68,11.1,15875,33219
Bibb County,Alabama,20826,22915,7.122016147,12.6,82.9,6.6,19918,41770
Blount County,Alabama,51024,57322,5.130909598,13.4,82,3.7,21070,45549
Bullock County,Alabama,11714,10914,9.973062122,25.3,76.9,9.9,20289,31602
Butler County,Alabama,21399,20947,9.31183463,25,69,13.7,16916,30659
Calhoun County,Alabama,112249,118572,15.43921837,19.5,70.7,14.3,20574,38407
Chambers County,Alabama,36583,34215,8.613707438,20.3,71.4,8.7,16626,31467
Cherokee County,Alabama,23988,25989,7.104621186,17.6,77.5,4.3,21322,40690
Chilton County,Alabama,39593,43643,6.324061132,18.4,75.1,4.4,20517,39486
Choctaw County,Alabama,15922,13859,10.64037809,18.7,85.6,3.9,17214,31076
Clarke County,Alabama,27867,25833,9.781442341,29.2,80,6.3,17372,27439
Clay County,Alabama,14254,13932,8.982701694,18.8,72.8,11.2,18332,35595
Cleburne County,Alabama,14123,14972,6.840034731,17.1,74.9,5.3,17490,36077
Coffee County,Alabama,43615,49948,20.33068391,17.2,69.7,13.6,22797,42253
Colbert County,Alabama,54984,54428,9.687697509,15.7,73.5,12.3,21079,39610
Conecuh County,Alabama,14089,13228,11.08073783,30.6,81.6,6,15755,26944
Coosa County,Alabama,12202,11539,7.839760811,16,83.7,1.9,19209,35560
Covington County,Alabama,37631,37765,9.461856216,19,74,6.1,19822,33852
Crenshaw County,Alabama,13665,13906,9.650294837,17.7,67.8,9.2,19793,35140
Cullman County,Alabama,77483,80406,7.760627316,16.7,74.7,8.5,20284,38567
Dale County,Alabama,49129,50251,25.77479055,14.8,61.2,13.2,21722,43353
Dallas County,Alabama,46365,43820,13.94810589,31.8,62.6,16,16646,26029
DeKalb County,Alabama,64452,71109,6.287361656,20,77.5,6.4,18152,35065
Elmore County,Alabama,65874,79303,6.397160259,12.4,77.6,7,22640,53128
Escambia County,Alabama,38440,38319,7.80516193,24.4,73.5,7.8,16259,31927
Etowah County,Alabama,103459,104430,9.255328928,16.8,73,11.9,20439,36422
Fayette County,Alabama,18495,17241,8.145583203,17.9,76,7.9,17711,34560
Franklin County,Alabama,31223,31704,9.624179914,19.5,69.2,10.4,18094,33942
Geneva County,Alabama,25764,26790,9.343673012,16.3,71.6,6.6,18351,34140
Greene County,Alabama,9974,9045,12.94770591,30.8,71.1,11.1,14738,22222
Hale County,Alabama,17185,15760,11.23229695,24.6,74.3,6.1,16523,29299
Henry County,Alabama,16310,17302,8.788463761,15.1,81.9,3.2,19716,38379
Houston County,Alabama,88787,101547,7.384994141,16.8,67.4,15.2,22725,41022
Jackson County,Alabama,53926,53227,12.48343886,17.5,76.6,5.8,18905,36312
Jefferson County,Alabama,662047,658466,10.62546586,15.5,66.8,24,26529,45244
Lamar County,Alabama,15904,14564,9.965394122,18.5,75.1,9,19789,33887
Lauderdale County,Alabama,87966,92709,8.106127776,17.7,73,14.7,22341,39345
Lawrence County,Alabama,34803,34339,6.652960191,13.6,78.7,5.1,19370,40516
Lee County,Alabama,115092,140247,5.505878914,19.2,64.2,23.3,22794,40894
Limestone County,Alabama,65676,82782,6.226148196,13.5,77.1,9.4,24007,46682
Lowndes County,Alabama,13473,11299,10.12832994,27.3,75.4,7,16524,29714
Macon County,Alabama,24105,21452,14.87777363,27.4,68,15.5,16380,27544
Madison County,Alabama,276700,334811,29.80251844,12,70.4,21.4,29918,55851
Marengo County,Alabama,22539,21027,10.10134589,22.7,73.5,8.3,18323,32940
Marion County,Alabama,31214,30776,8.666005979,17.8,75.8,10.9,19030,32769
Marshall County,Alabama,82231,93019,7.679140821,19.9,72.5,9.3,19875,37661
Mobile County,Alabama,399843,412992,10.60518121,19.2,68.4,17.7,21548,40996
Monroe County,Alabama,24324,23068,8.683024103,25.4,73.8,6,17652,30235
Montgomery County,Alabama,223510,229363,22.17335403,18.9,63.2,22.4,24622,43725
Morgan County,Alabama,111064,119490,6.859963177,15,73.1,13.7,23090,44349
