height,weight,footlength
170,58,
180,74,
165,56,
169,63,
170,52,
174,62,
182,72,
185,70,
183,90,
175,63,
168,62,
180,67,
175,62,
176,71,
165,65,
173,59,
167,56,
175,60,
173,63,
178,68,
173,65,
173,65,
180,70,
181,75,
173,64,
180,72,
170,65,
174,66,
170,65,
170,60,
177,63,
166,56,
177,65,
170,60,
182,65,
184,70,
178,65,
178,60,
165,63,
167,62,
172,60,
172,65,
170,62,
177,68,
180,73,
165,50,
173,72,
173,58,
166,60,
171,55,
171,70,
190,82,
186,80,
170,60,
177,68,
172,61,
178,60,
172,60,
166,70,
180,65,
177,67,
175,60,
183,75,
182,70,
176,70,
170,56,
183,76,
180,79,
185,72,
169,62,
172,60,
180,70,
182,72,
179,67,
175,65,
167,58,
184,70,
174,64,
168,64,
182,74,
174,64,
180,60,
170,60,
170,58,
170,65,
171,62,
176,65,
183,74,
175,60,
175,60,
170,60,
175,68,
170,64,
180,60,
170,63,
167,65,
