height,footSize,birthday
178,26.2,1/7
173,25.5,1/8
175,26.1,1/6
176,25.5,1/9
178,26.5,1/11
171,24.6,
175,26.2,
180,25.7,
174,25.9,
178,24.2,
176,27.4,
170,24.1,
174,24.4,
170,24.2,
171,25.2,
175,27.7,
168,24.3,
174,24.5,
168,23.1,
174,25.8,
173,23.5,
180,26.6,
174,25.5,
178,25.4,
177,25.2,
178,25.6,
173,24.2,
170,24.7,
170,24.7,
170,24.5,
175,25.3,
176,26.7,
179,25.9,
172,25.3,
179,26.8,
176,24.6,
173,24.5,
175,24.4,
183,26.1,
170,24.4,
180,25.3,
174,24.2,
179,26.1,
182,24.4,
175,25.2,
176,25.4,
175,25.1,
177,26.2,
170,24,
173,25.5,
179,25.3,
188,29,
175,25.1,
172,25.6,
175,26,
180,24.5,
183,25.5,
175,24.2,
180,27.4,
180,26,
178,27.4,
170,24.5,
171,25.3,
180,26.2,
179,26.1,
176,26.2,
175,25.8,
168,24.4,
172,24.8,
175,24.5,
178,26.3,
173,24.4,
184,27.5,
174,25.6,
183,26.4,
175,24.7,
175,25.8,
175,25.4,
172,24.3,
172,24.9,
185,27.1,
174,26,
181,26.3,
175,25.4,
187,27.2,
